name,investmentFundType,riskRating,ocfTer,fmec,additionalCharge
Aviva Pension Baillie Gifford Managed EP S2,Mixed assets,5,0,,
Aviva Pension Baillie Gifford Managed EP S3,Mixed assets,5,0,,
Aviva Pension Baillie Gifford Managed FP,Mixed assets,5,0.23,,
Aviva Pension Baillie Gifford Managed IE/XE,Mixed assets,5,0,,
Aviva Pension Baillie Gifford UK Equity Alpha AP,Equities,7,0,,
Aviva Pension Baillie Gifford UK Equity Core FP,Equities,6,0.34,,
Aviva Pension Baillie Gifford UK Equity Core IE/XE,Equities,6,0,,
Aviva Pension Balanced Multi-Asset Fund FP,Mixed assets,4,0,,
Aviva Pension BlackRock (30:70) Currency Hedged Global Equity Index Tracker EP,Equities  Tracker,6,0,,
Aviva Pension BlackRock (30:70) Currency Hedged Global Equity Index Tracker FP,Equities  Tracker,6,0,,
Aviva Pension BlackRock (30:70) Currency Hedged Global Equity Index Tracker IE/XE,Equities  Tracker,6,0,,
Aviva Pension BlackRock (40:60) Global Equity Index Tracker FP,Equities  Tracker,5,0,,
Aviva Pension BlackRock (50:50) Global Equity Index Tracker AP,Equities  Tracker,5,0,,
Aviva Pension BlackRock (50:50) Global Equity Index Tracker EP,Equities  Tracker,5,0,,
Aviva Pension BlackRock (50:50) Global Equity Index Tracker EP S3,Equities  Tracker,5,0,,
Aviva Pension BlackRock (50:50) Global Equity Index Tracker FP,Equities  Tracker,5,0,,
Aviva Pension BlackRock (50:50) Global Equity Index Tracker IE/XE,Equities  Tracker,5,0,,
Aviva Pension BlackRock (60:40) Global Equity Index Tracker AP,Equities  Tracker,5,0,,
Aviva Pension BlackRock (60:40) Global Equity Index Tracker EP,Equities  Tracker,5,0,,
Aviva Pension BlackRock (60:40) Global Equity Index Tracker EP S2,Equities  Tracker,5,0,,
Aviva Pension BlackRock (60:40) Global Equity Index Tracker EP S3,Equities  Tracker,5,0,,
Aviva Pension BlackRock (60:40) Global Equity Index Tracker FP,Equities  Tracker,5,0,,
Aviva Pension BlackRock (60:40) Global Equity Index Tracker IE/XE,Equities  Tracker,5,0,,
Aviva Pension BlackRock (70:30) Global Equity Index (Aquila C) IE/XE,Equities  Tracker,5,0,,
Aviva Pension BlackRock All Stocks UK Gilt Index Tracker FP,Gilts  Tracker,3,0,,
Aviva Pension BlackRock All Stocks UK Gilt Index Tracker XE,Gilts  Tracker,3,0,,
Aviva Pension BlackRock Consensus AP,Mixed assets  Tracker,4,0,,
Aviva Pension BlackRock Consensus EP,Mixed assets  Tracker,4,0,,
Aviva Pension BlackRock Consensus EP S2,Mixed assets  Tracker,4,0,,
Aviva Pension BlackRock Consensus EP S3,Mixed assets  Tracker,4,0,,
Aviva Pension BlackRock Consensus FP,Mixed assets  Tracker,4,0,,
Aviva Pension BlackRock Consensus IE/XE,Mixed assets  Tracker,4,0,,
Aviva Pension BlackRock Corporate Bond All Stocks Index Tracker EP,Corporate bonds  Tracker,3,0,,
Aviva Pension BlackRock Corporate Bond All Stocks Index Tracker FP,Corporate bonds  Tracker,3,0,,
Aviva Pension BlackRock Corporate Bond All Stocks Index Tracker IE / XE,Corporate bonds  Tracker,3,0,,
Aviva Pension BlackRock DC Diversified Growth FP,Mixed assets,3,0.61,,
Aviva Pension BlackRock DC Diversified Growth IE,Mixed assets,3,0,,
Aviva Pension BlackRock Developed World Fossil Fuel Screened Index FP,Equities  Ethical  Tracker,6,0.07,,
Aviva Pension BlackRock Developed World Fossil Fuel Screened Index XE,Equities  Ethical  Tracker,6,0,,
Aviva Pension BlackRock Emerging Markets Index IE,Equities  Tracker,7,0,,
Aviva Pension BlackRock Emerging Markets Index Tracker EP / EP S1,Equities  Tracker,7,0,,
Aviva Pension BlackRock Emerging Markets Index Tracker EP S3,Equities  Tracker,7,0,,
Aviva Pension BlackRock Emerging Markets Index Tracker FP,Equities  Tracker,7,0.26,,
Aviva Pension BlackRock Emerging Markets Index Tracker XE,Equities  Tracker,7,0,,
Aviva Pension BlackRock European Equity Index Tracker AP,Equities  Tracker,6,0,,
Aviva Pension BlackRock European Equity Index Tracker EP / EP S1,Equities  Tracker,6,0,,
Aviva Pension BlackRock European Equity Index Tracker EP S3,Equities  Tracker,6,0,,
Aviva Pension BlackRock European Equity Index Tracker FP,Equities  Tracker,6,0,,
Aviva Pension BlackRock European Equity Index Tracker IE/XE,Equities  Tracker,6,0,,
Aviva Pension BlackRock Gold and General AP,Specialist / Other,7,0,,
Aviva Pension BlackRock Gold and General EP / EP S1,Specialist / Other,7,0,,
Aviva Pension BlackRock Gold and General EP S3,Specialist / Other,7,0,,
Aviva Pension BlackRock Gold and General IE/XE,Specialist / Other,7,0,,
Aviva Pension BlackRock ICS Sterling Liquidity EP,Cash/Money market,1,0,,
Aviva Pension BlackRock ICS Sterling Liquidity EP S1 / EP S2,Cash/Money market,1,0,,
Aviva Pension BlackRock ICS Sterling Liquidity EP S3,Cash/Money market,1,0,,
Aviva Pension BlackRock ICS Sterling Liquidity IE / XE,Cash/Money market,1,0,,
Aviva Pension BlackRock Japanese Equity Index Tracker EP,Equities  Tracker,6,0,,
Aviva Pension BlackRock Japanese Equity Index Tracker EP S3,Equities  Tracker,6,0,,
Aviva Pension BlackRock Japanese Equity Index Tracker FP,Equities  Tracker,6,0,,
Aviva Pension BlackRock Japanese Equity Index Tracker IE/XE,Equities  Tracker,6,0,,
Aviva Pension BlackRock Life Balanced Growth AP,Mixed assets,5,0,,
Aviva Pension BlackRock Market Advantage FP,Specialist / Other,3,0.22,,
Aviva Pension BlackRock Market Advantage XE,Specialist / Other,3,0,,
Aviva Pension BlackRock Over 15 Year Corporate Bond Index Tracker EP / EP S1,Corporate bonds  Tracker,5,0,,
Aviva Pension BlackRock Over 15 Year Corporate Bond Index Tracker EP S3,Corporate bonds  Tracker,5,0,,
Aviva Pension BlackRock Over 15 Year Corporate Bond Index Tracker FP,Corporate bonds  Tracker,5,0,,
Aviva Pension BlackRock Over 15 Year Corporate Bond Index Tracker IE/XE,Corporate bonds  Tracker,5,0,,
Aviva Pension BlackRock Over 15 Year Gilt Index Tracker AP,Gilts  Tracker,5,0,,
Aviva Pension BlackRock Over 15 Year Gilt Index Tracker EP,Gilts  Tracker,5,0,,
Aviva Pension BlackRock Over 15 Year Gilt Index Tracker EP S3,Gilts  Tracker,5,0,,
Aviva Pension BlackRock Over 15 Year Gilt Index Tracker FP,Gilts  Tracker,5,0,,
Aviva Pension BlackRock Over 15 Year Gilt Index Tracker IE/XE,Gilts  Tracker,5,0,,
Aviva Pension BlackRock Over 5 Year Index-Linked Gilt Index Tracker AP,Gilts  Tracker,5,0,,
Aviva Pension BlackRock Over 5 Year Index-Linked Gilt Index Tracker EP,Gilts  Tracker,5,0,,
Aviva Pension BlackRock Over 5 Year Index-Linked Gilt Index Tracker EP / EP S1,Gilts  Tracker,5,0,,
Aviva Pension BlackRock Over 5 Year Index-Linked Gilt Index Tracker EP S3,Gilts  Tracker,5,0,,
Aviva Pension BlackRock Over 5 Year Index-Linked Gilt Index Tracker FP,Gilts  Tracker,5,0,,
Aviva Pension BlackRock Over 5 Year Index-Linked Gilt Index Tracker IE/XE,Gilts  Tracker,5,0,,
Aviva Pension BlackRock Overseas Bond Index Tracker FP,Global bonds  Tracker,4,0,,
Aviva Pension BlackRock Overseas Bond Index Tracker IE,Global bonds  Tracker,4,0,,
Aviva Pension BlackRock Overseas Consensus Equity EP,Equities  Tracker,5,0,,
Aviva Pension BlackRock Overseas Consensus Equity EP S1,Equities  Tracker,5,0,,
Aviva Pension BlackRock Overseas Consensus Equity EP S3/IE/XE,Equities  Tracker,5,0,,
Aviva Pension BlackRock Pacific Rim Equity Index Tracker EP,Equities  Tracker,7,0,,
Aviva Pension BlackRock Pacific Rim Equity Index Tracker FP,Equities  Tracker,7,0,,
Aviva Pension BlackRock Pacific Rim Equity Index Tracker IE/XE,Equities  Tracker,7,0,,
Aviva Pension BlackRock Sterling Liquidity FP,Cash/Money market,1,0,,
Aviva Pension BlackRock Sterling Liquidity IE/XE,Cash/Money market,1,0,,
Aviva Pension BlackRock UK Equity FP,Equities,6,0.22,,
Aviva Pension BlackRock UK Equity Index Tracker AP,Equities  Tracker,5,0,,
Aviva Pension BlackRock UK Equity Index Tracker EP / EP S1,Equities  Tracker,5,0,,
Aviva Pension BlackRock UK Equity Index Tracker EP S2,Equities  Tracker,5,0,,
Aviva Pension BlackRock UK Equity Index Tracker EP S3,Equities  Tracker,5,0,,
Aviva Pension BlackRock UK Equity Index Tracker FP,Equities  Tracker,5,0,,
Aviva Pension BlackRock UK Equity Index Tracker IE/XE,Equities  Tracker,5,0,,
Aviva Pension BlackRock UK Smaller Companies FP,Equities,7,0.9,,
Aviva Pension BlackRock UK Smaller Companies IE/XE,Equities,7,0,,
Aviva Pension BlackRock UK Special Situations FP,Equities,6,0.9,,
Aviva Pension BlackRock US Equity Index Tracker AP,Equities  Tracker,6,0,,
Aviva Pension BlackRock US Equity Index Tracker EP / EP S1,Equities  Tracker,6,0,,
Aviva Pension BlackRock US Equity Index Tracker EP S3,Equities  Tracker,6,0,,
Aviva Pension BlackRock US Equity Index Tracker FP,Equities  Tracker,6,0,,
Aviva Pension BlackRock US Equity Index Tracker IE/XE,Equities  Tracker,6,0,,
Aviva Pension BlackRock World EP,Equities,5,0,,
Aviva Pension BlackRock World ESG Insights Equity FP,Equities  Ethical,6,0.08,,
Aviva Pension BlackRock World ESG Insights Equity XE,Equities  Ethical,6,0,,
Aviva Pension BlackRock World ex UK Equity Index Tracker AP,Equities  Tracker,6,0,,
Aviva Pension BlackRock World ex UK Equity Index Tracker EP,Equities  Tracker,6,0,,
Aviva Pension BlackRock World ex UK Equity Index Tracker FP,Equities  Tracker,6,0,,
Aviva Pension BlackRock World ex UK Equity Index Tracker IE/XE,Equities  Tracker,6,0,,
Aviva Pension BlackRock World IE / XE,Equities,5,0,,
Aviva Pension BNY Mellon Global Dynamic Bond FP,Equities,2,0.39,,
Aviva Pension BNY Mellon Global Equity AP,Equities,5,0,,
Aviva Pension BNY Mellon Global Equity FP,Equities,5,0.47,,
Aviva Pension BNY Mellon Global Equity IE/XE,Equities,5,0,,
Aviva Pension BNY Mellon Global Income EP / EP S1,Equities,5,0,,
Aviva Pension BNY Mellon Global Income EP S3,Equities,5,0,,
Aviva Pension BNY Mellon International Bond AP,Global bonds,3,0,,
Aviva Pension BNY Mellon International Bond FP,Global bonds,3,0.27,,
Aviva Pension BNY Mellon Long-Term Global Equity EP / EP S1,Equities,5,0,,
Aviva Pension BNY Mellon Long-Term Global Equity EP S3,Equities,5,0,,
Aviva Pension BNY Mellon Long-Term Global Equity FP,Equities,5,0.67,,
Aviva Pension BNY Mellon Long-Term Global Equity XE,Equities,5,0,,
Aviva Pension BNY Mellon Multi-Asset Balanced FP,Mixed assets,4,0.31,,
Aviva Pension BNY Mellon Multi-Asset Diversified Return AP,Specialist / Other,4,0,,
Aviva Pension BNY Mellon Multi-Asset Diversified Return EP / EP S1,Specialist / Other,4,0,,
Aviva Pension BNY Mellon Multi-Asset Diversified Return EP S3,Specialist / Other,4,0,,
Aviva Pension BNY Mellon Multi-Asset Global Balanced FP,Mixed assets,4,0.4,,
Aviva Pension BNY Mellon Multi-Asset Growth AP,Mixed assets,5,0,,
Aviva Pension BNY Mellon Real Return FP,Specialist / Other,4,0.88,,
Aviva Pension BNY Mellon UK Equity FP,Equities,5,0.32,,
Aviva Pension BNY Mellon UK Income AP,Equities,6,0,,
Aviva Pension BNY Mellon UK Income FP,Equities,6,0.49,,
Aviva Pension Cash AP,Cash/Money market,1,0,,
Aviva Pension Cash AP / XE,Cash/Money market,1,0,,
Aviva Pension Cash FP,Cash/Money market,1,0,,
Aviva Pension Cash LMP / FPP,Cash/Money market,1,0,,
Aviva Pension Cautious Managed FP,Mixed assets,3,0,,
Aviva Pension Cautious Managed LMP,Mixed assets,3,0,,
Aviva Pension Cautious Multi Asset Fund FP,Mixed assets,3,0,,
Aviva Pension Climate Transition Global Credit FP,Corporate bonds  Global bonds  Ethical,3,0.5,,
Aviva Pension Climate Transition Global Credit XE,Corporate bonds  Global bonds  Ethical,3,0,,
Aviva Pension Climate Transition Global Equity FP,Equities  Ethical,6,0.85,,
Aviva Pension Climate Transition Global Equity XE,Equities  Ethical,6,0.85,,
Aviva Pension Close FTSE TechMARK EP,Specialist / Other,7,1.02,,
Aviva Pension Close FTSE TechMARK IE/XE,Specialist / Other,7,0,,
Aviva Pension CT European Select EP,Equities,6,0,,
Aviva Pension CT European Select FP,Equities,6,0.49,,
Aviva Pension CT European Select IE/XE,Equities,6,0,,
Aviva Pension CT Global Equity Income FP,Equities,5,0.69,,
Aviva Pension CT Global Equity Income XE,Equities,5,0.69,,
Aviva Pension CT Global Select AP,Equities,5,0,,
Aviva Pension CT Pensions Property EP / EP S1,Property,4,0,,
Aviva Pension CT Pensions Property EP S2,Property,4,0,,
Aviva Pension CT Pensions Property EP S3,Property,4,0,,
Aviva Pension CT Pensions Property IE/XE,Property,4,0,,
Aviva Pension CT Responsible UK Equity Growth AP,Equities  Ethical,6,0,,
Aviva Pension CT UK Equity Income EP / EP S1,Equities,6,0,,
Aviva Pension CT UK Equity Income EP S3,Equities,6,0,,
Aviva Pension CT UK Equity Income FP,Equities,6,0.51,,
Aviva Pension CT UK Equity Income IE/XE,Equities,6,0,,
Aviva Pension CT UK Social Bond FP,Gilts  Corporate bonds,2,0.31,,
Aviva Pension Deposit NMP,Cash/Money market,1,0,,
Aviva Pension Equity EP,Equities,6,0,,
Aviva Pension Equity EP S1,Equities,6,0,,
Aviva Pension Equity EP S2,Equities,6,0,,
Aviva Pension Equity EP S3,Equities,6,0,,
Aviva Pension Equity IE / XE,Equities,6,0,,
Aviva Pension Ethical Distribution AP,Mixed asset  Ethical,5,0,,
Aviva Pension Ethical Distribution AP / XE,Mixed asset  Ethical,5,0,,
Aviva Pension Europe ex UK Equities AP,Equities,6,0,,
Aviva Pension Europe ex UK Equities AP / XE,Equities,6,0,,
Aviva Pension European FP,Equities,6,0,,
Aviva Pension European FPP,Equities,6,0,,
Aviva Pension European NMP,Equities,6,0,,
Aviva Pension Far East AP / XE,Equities,6,0,,
Aviva Pension Far Eastern Growth NMP,Equities,6,0,,
Aviva Pension Fidelity Asia IE/XE,Equities,7,0,,
Aviva Pension Fidelity Special Situations AP,Equities,7,0,,
Aviva Pension Fidelity Special Situations EP / EP S1 / IE / XE,Equities,7,0,,
Aviva Pension Fidelity Special Situations EP S3,Equities,7,0,,
Aviva Pension Fidelity Sustainable MoneyBuilder Income AP,Corporate bonds,3,0,,
Aviva Pension Fidelity Sustainable MoneyBuilder Income EP / EP S1,Corporate bonds,3,0,,
Aviva Pension Fidelity Sustainable MoneyBuilder Income EP S3,Corporate bonds,3,0,,
Aviva Pension Fidelity Sustainable MoneyBuilder Income FP,Corporate bonds,3,0.46,,
Aviva Pension Fidelity Sustainable MoneyBuilder Income XE,Corporate bonds,3,0,,
Aviva Pension Fixed Interest (ex NM) NMP,Corporate bonds,3,0,,
Aviva Pension Fixed Interest AP / XE,Corporate bonds,3,0,,
Aviva Pension Fixed Interest EP / EP S1,Corporate bonds,3,0,,
Aviva Pension Fixed Interest EP S2,Corporate bonds,3,0,,
Aviva Pension Fixed Interest EP S3,Corporate bonds,3,0,,
Aviva Pension Fixed Interest FP,Corporate bonds,3,0,,
Aviva Pension Fixed Interest IE/XE,Corporate bonds,3,0,,
Aviva Pension Fixed Interest LMP / FPP,Corporate bonds,3,0,,
Aviva Pension Global Distribution AP,Specialist / Other,4,0,,
Aviva Pension Global Distribution AP / XE,Specialist / Other,4,0,,
Aviva Pension Global Equities AP,Equities,5,0,,
Aviva Pension Global Equities AP / XE,Equities,5,0,,
Aviva Pension Global Equity FP,Equities,5,0,,
Aviva Pension Global Equity LMP / FPP,Equities,5,0,,
Aviva Pension Global Managed AP / XE,Mixed assets,5,0,,
Aviva Pension Guaranteed Deposit LMP,Cash/Money market  Guaranteed,1,0,,
Aviva Pension Guaranteed Deposit NMP,Cash/Money market  Guaranteed,1,0,,
Aviva Pension Higher Income AP,Equities,6,0,,
Aviva Pension Higher Income AP / XE,Equities,6,0,,
Aviva Pension HSBC Global Sukuk Index FP,Corporate bonds  Global bonds  Tracker,3,0.3,,
Aviva Pension HSBC Global Sukuk Index XE,Corporate bonds  Global bonds  Tracker,3,0.3,,
Aviva Pension HSBC Islamic Global Equity Index AP,Equities  Tracker,5,0,,
Aviva Pension HSBC Islamic Global Equity Index EP,Equities  Tracker,6,0,,
Aviva Pension HSBC Islamic Global Equity Index EP S3,Equities  Tracker,6,0,,
Aviva Pension HSBC Islamic Global Equity Index FP,Equities  Tracker,6,0.3,,
Aviva Pension HSBC Islamic Global Equity Index IE/XE,Equities  Tracker,6,0,,
Aviva Pension HSBC Shariah Multi Asset FP,Mixed assets  Specialist/Other,5,0.35,,
Aviva Pension HSBC Shariah Multi Asset XE,Mixed assets  Specialist/Other,5,0.35,,
Aviva Pension Income Accumulation NMP,Equities,7,0,,
Aviva Pension Index-Linked Acc EP,Gilts,5,0,,
Aviva Pension Index-Linked AP,Gilts,5,0,,
Aviva Pension Index-Linked AP / XE,Gilts,5,0,,
Aviva Pension Index-Linked EP,Gilts,5,0,,
Aviva Pension Index-Linked EP / EP S1,Gilts,5,0,,
Aviva Pension Index-Linked EP S2,Gilts,5,0,,
Aviva Pension Index-Linked EP S3,Gilts,5,0,,
Aviva Pension Index-Linked FP,Gilts,5,0.02,,
Aviva Pension Index-Linked FPP,Gilts,5,0,,
Aviva Pension Index-Linked IE/XE,Gilts,5,0,,
Aviva Pension Insight Broad Opportunities FP,Specialist / Other,3,0.71,,
Aviva Pension International EP,Equities,5,0,,
Aviva Pension International IE/XE,Equities,5,0,,
Aviva Pension International NMP,Equities,5,0,,
Aviva Pension Invesco Asian AP,Equities,7,0,,
Aviva Pension Invesco Corporate Bond AP,Corporate bonds,2,0,,
Aviva Pension Invesco Corporate Bond EP / EP S1,Corporate bonds,2,0,,
Aviva Pension Invesco Corporate Bond EP S3,Corporate bonds,2,0,,
Aviva Pension Invesco Corporate Bond FP,Corporate bonds,2,0.5,,
Aviva Pension Invesco Corporate Bond IE/XE,Corporate bonds,2,0,,
Aviva Pension Invesco Distribution AP,Mixed assets,3,0,,
Aviva Pension Invesco Distribution FP,Mixed assets,3,0.77,,
Aviva Pension Invesco Global Smaller Companies EP / EP S1,Equities,7,0,,
Aviva Pension Invesco Global Smaller Companies EP S3,Equities,7,0,,
Aviva Pension Invesco Global Smaller Companies IE/XE,Equities,7,0,,
Aviva Pension Invesco Japanese Equity Advantage (UK) AP,Equities,6,0,,
Aviva Pension Invesco Monthly Income Plus AP,Corporate bonds,3,0,,
Aviva Pension Invesco Monthly Income Plus EP / EP S1,Corporate bonds,3,0,,
Aviva Pension Invesco Monthly Income Plus EP S3 / IE,Corporate bonds,3,0,,
Aviva Pension Investment Pathway 1 AP,Mixed assets,3,0,,
Aviva Pension Investment Pathway 1 EP,Mixed assets,3,0,,
Aviva Pension Investment Pathway 1 FP,Mixed assets,3,0.1,,
Aviva Pension Investment Pathway 1 XE,Mixed assets,3,0,,
Aviva Pension Investment Pathway 2 AP,Corporate bonds  Gilts,4,0,,
Aviva Pension Investment Pathway 2 EP,Corporate bonds  Gilts,4,0,,
Aviva Pension Investment Pathway 2 FP,Corporate bonds  Gilts,4,0.1,,
Aviva Pension Investment Pathway 2 XE,Corporate bonds  Gilts,4,0.1,,
Aviva Pension Investment Pathway 3 AP,Mixed assets,4,0,,
Aviva Pension Investment Pathway 3 EP,Mixed assets,3,0,,
Aviva Pension Investment Pathway 3 FP,Mixed assets,3,0.1,,
Aviva Pension Investment Pathway 3 XE,Mixed assets,3,0.1,,
Aviva Pension Investment Pathway 4 AP,Mixed assets,2,0,,
Aviva Pension Investment Pathway 4 EP,Mixed assets,2,0,,
Aviva Pension Investment Pathway 4 FP,Mixed assets,2,0.1,,
Aviva Pension Investment Pathway 4 XE,Mixed assets,2,0.1,,
Aviva Pension Investment Trust Portfolio LMP,Equities,6,0,,
Aviva Pension Janus Henderson Cautious Managed AP,Mixed assets,4,0,,
Aviva Pension Janus Henderson European Selected Opportunities AP,Equities,6,0,,
Aviva Pension Janus Henderson European Selected Opportunities EP / EP S1,Equities,6,0,,
Aviva Pension Janus Henderson European Selected Opportunities EP S3,Equities,6,0,,
Aviva Pension Janus Henderson European Selected Opportunities IE/XE,Equities,6,0,,
Aviva Pension Janus Henderson UK Smaller Companies FP,Equities,7,0.78,,
Aviva Pension Janus Henderson UK Smaller Companies XE,Equities,7,0,,
Aviva Pension Japan Equities AP,Equities,6,0,,
Aviva Pension Japan Equities AP / XE,Equities,6,0,,
Aviva Pension JPM Emerging Markets AP,Equities,7,0,,
Aviva Pension JPM Emerging Markets EP / EP S1,Equities,7,0,,
Aviva Pension JPM Emerging Markets EP S3 / IE,Equities,7,0.8,,
Aviva Pension JPM Emerging Markets FP,Equities,7,0.8,,
Aviva Pension JPM Emerging Markets XE,Equities,7,0,,
Aviva Pension JPM Natural Resources AP,Specialist / Other,7,0,,
Aviva Pension JPM Natural Resources EP / EP S1,Specialist / Other,7,0,,
Aviva Pension JPM Natural Resources EP S3,Specialist / Other,7,0,,
Aviva Pension JPM Natural Resources FP,Specialist / Other,7,0.83,,
Aviva Pension JPM UK Equity Growth AP,Equities,6,0,,
Aviva Pension JPM UK Equity Growth AP/XE,Equities,6,0,,
Aviva Pension Jupiter Ecology AP,Equities  Ethical,6,0,,
Aviva Pension Jupiter Ecology IE/XE,Equities  Ethical,6,0,,
Aviva Pension L&G Infrastructure Index FP,Equities  Tracker,6,0.3,,
Aviva Pension Lazard Multicap UK Income FP,Equities,6,0.39,,
Aviva Pension Legal & General (PMC) All Stocks Gilts Index IE,Gilts  Tracker,4,0,,
Aviva Pension Legal & General (PMC) Cash IE/XE,Cash/Money market,1,0,,
Aviva Pension Legal & General (PMC) FTSE4Good Developed Equity Index FP,Equities  Ethical  Tracker,5,0.15,,
Aviva Pension Legal & General (PMC) FTSE4Good Developed Equity Index XE,Equities  Tracker  Ethical,5,0,,
Aviva Pension Legal & General (PMC) FTSE4Good UK Equity Index FP,Equities  Tracker  Ethical,6,0.2,,
Aviva Pension Legal & General (PMC) FTSE4Good UK Equity Index XE,Equities  Tracker  Ethical,6,0,,
Aviva Pension Legal & General (PMC) Future World Annuity Aware FP,Corporate bonds,4,0.01,,
Aviva Pension Legal & General (PMC) Future World Annuity Aware XE,Corporate bonds,4,0,,
Aviva Pension Legal & General (PMC) Global Real Estate Equity Index FP,Equities  Property  Tracker,6,0.35,,
Aviva Pension Legal & General (PMC) North America Equity Index IE,Equities  Tracker,6,0,,
Aviva Pension Legal & General (PMC) Over 5 Year Index-Linked Gilts Index IE,Gilts  Tracker,5,0,,
Aviva Pension Legal & General (PMC) Retirement Income Multi Asset XE,Mixed assets  Equities  Corporate bonds,3,0.3,,
Aviva Pension Legal & General (PMC) Retirement Income Multi-Asset FP,Specialist / Other,3,0.28,,
Aviva Pension Legal & General (PMC) World (Ex UK) Equity Index IE,Equities  Tracker,6,0,,
Aviva Pension Legal & General Multi Asset (formerly Consensus) IE/XE,Mixed assets,4,0,,
Aviva Pension Legal & General UK Property EP / EP S1,Property,4,0,,
Aviva Pension Legal & General UK Property EP S3,Property,4,0,,
Aviva Pension LGIM Diversified XE,Mixed assets,4,0,,
Aviva Pension LGIM Future World Fund FP,Equities,5,0.275,,
Aviva Pension LGIM Hybrid Property FP,Specialist / Other,5,0.47,,
Aviva Pension LGIM Hybrid Property XE,Specialist / Other,5,0,,
Aviva Pension Lifestyle Retirement 2030 AP,Specialist / Other,5,0,,
Aviva Pension Lifestyle Retirement 2035 AP,Specialist / Other,5,0,,
Aviva Pension Lifestyle Retirement 2040 AP,Specialist / Other,5,0,,
Aviva Pension Lifestyle Retirement 2045 AP,Specialist / Other,5,0,,
Aviva Pension Lifestyle Retirement 2050 AP,Specialist / Other,5,0,,
Aviva Pension Liontrust MA Explorer 85 AP,Mixed assets,5,0,,
Aviva Pension M&G Corporate Bond EP / EP S1,Corporate bonds,3,0.85,,
Aviva Pension M&G Corporate Bond EP S2,Corporate bonds,3,0.9,,
Aviva Pension M&G Corporate Bond EP S3,Corporate bonds,3,1,,
Aviva Pension M&G Corporate Bond FP,Corporate bonds,3,0.43,,
Aviva Pension M&G Corporate Bond IE/XE,Corporate bonds,3,0.43,,
Aviva Pension M&G Gilt & Fixed Interest Income AP,Gilts,3,0,,
Aviva Pension M&G Optimal Income FP,Corporate bonds,3,0.57,,
Aviva Pension M&G Optimal Income XE,Corporate bonds,3,0.57,,
Aviva Pension M&G Strategic Corporate Bond XE,Global bonds,3,0.33,,
Aviva Pension Man GLG Japan CoreAlpha IE/XE,Equities,7,0,,
Aviva Pension Managed (AP) EP,Mixed assets,4,0,,
Aviva Pension Managed AP,Mixed assets,4,0,,
Aviva Pension Managed AP / XE,Mixed assets,4,0,,
Aviva Pension Managed EP S3,Mixed assets,4,0,,
Aviva Pension Managed FP,Mixed assets,4,0,,
Aviva Pension Managed LMP / FPP,Mixed assets,4,0,,
Aviva Pension Managed Mixed EP,Mixed assets,4,0,,
Aviva Pension Managed NMP,Mixed assets,4,0,,
Aviva Pension MFS Meridian Global Equity EP,Equities,5,0,,
Aviva Pension MFS Meridian Global Equity FP,Equities,5,0.62,,
Aviva Pension MFS Meridian Global Equity IE,Equities,5,0,,
Aviva Pension Money Market Acc EP,Cash/Money market,1,0,,
Aviva Pension Money Market EP,Cash/Money market,1,0,,
Aviva Pension Money Market EP / EP S1,Cash/Money market,1,0,,
Aviva Pension Money Market EP S2,Cash/Money market,1,0,,
Aviva Pension Money Market EP S3,Cash/Money market,1,0,,
Aviva Pension Money Market IE / XE,Cash/Money market,1,0,,
Aviva Pension Multi Strategy Target Return FP,Specialist / Other,3,0.75,,
Aviva Pension Multi Strategy Target Return XE,Specialist / Other,3,0,,
Aviva Pension Multi-Asset Growth Fund FP,Mixed assets,4,0,,
Aviva Pension Multi-Asset Index Cautious Fund FP,Mixed assets,4,0,,
Aviva Pension Multi-Asset Index Growth Fund FP,Mixed assets,4,0,,
Aviva Pension My Future Annuity AP,Corporate bonds  Global bonds  Gilts,4,0,,
Aviva Pension My Future Annuity EP,Corporate bonds  Global bonds  Gilts,4,0,,
Aviva Pension My Future Annuity FP,Corporate bonds  Global bonds  Gilts,4,0,,
Aviva Pension My Future Annuity IE/XE,Corporate bonds  Global bonds  Gilts,4,0,,
Aviva Pension My Future Cash Lump Sum AP,Gilts  Corporate bonds  Equities,2,0,,
Aviva Pension My Future Cash Lump Sum FP,Gilts  Corporate bonds,2,0,,
Aviva Pension My Future Cash Lump Sum XE,Gilts  Corporate bonds,2,0,,
Aviva Pension My Future Consolidation AP,Mixed assets,3,0,,
Aviva Pension My Future Consolidation EP S3,Mixed assets,3,0,,
Aviva Pension My Future Consolidation FP,Mixed assets,3,0,,
Aviva Pension My Future Consolidation IE/XE,Mixed assets,3,0,,
Aviva Pension My Future Drawdown AP,Mixed assets,4,0,,
Aviva Pension My Future Drawdown FP,Mixed assets,4,0,,
Aviva Pension My Future Drawdown XE,Mixed assets,4,0,,
Aviva Pension My Future Focus Annuity FP,Corporate bonds  Global bonds  Gilts,4,0.1,,
Aviva Pension My Future Focus Annuity XE,Corporate bonds  Global bonds  Gilts,4,0,,
Aviva Pension My Future Focus Cash Lump Sum FP,Gilts  Corporate bonds,2,0.1,,
Aviva Pension My Future Focus Cash Lump Sum XE,Gilts  Corporate bonds,2,0,,
Aviva Pension My Future Focus Consolidation (Pre-2024) FP,Mixed assets,2,0.1,,
Aviva Pension My Future Focus Consolidation (Pre-2024) XE,Mixed assets,2,0,,
